云南 治愈 2人
辽宁 新增 感染患者 3人
北京 新增 感染患者 90人
黑龙江 死亡 1人
广东 新增 感染患者 35人
广西 排除 疑似患者 9人
云南 感染患者 流入 西藏 3人
辽宁 疑似患者 流入 河南 1人
上海 新增 疑似患者 71人
西藏 死亡 1人
内蒙古 新增 疑似患者 40人
新疆 新增 疑似患者 28人
天津 疑似患者 流入 新疆 1人
浙江 新增 疑似患者 24人
云南 新增 感染患者 66人
河南 新增 疑似患者 36人
湖北 新增 疑似患者 81人
福建 治愈 2人
上海 排除 疑似患者 6人
福建 死亡 7人
河北 新增 感染患者 71人
浙江 新增 疑似患者 97人
贵州 新增 疑似患者 26人
河南 新增 疑似患者 26人
上海 新增 疑似患者 48人
河南 新增 感染患者 6人
台湾 新增 疑似患者 2277人
重庆 新增 感染患者 78人
香港 新增 感染患者 40人
云南 新增 疑似患者 43人
上海 新增 疑似患者 9人
台湾 新增 感染患者 15695人
新疆 新增 疑似患者 25人
香港 新增 疑似患者 81人
内蒙古 新增 疑似患者 57人
湖北 排除 疑似患者 9人
浙江 新增 感染患者 32人
香港 新增 感染患者 43人
香港 新增 疑似患者 58人
浙江 新增 疑似患者 43人
吉林 新增 疑似患者 34人
海南 新增 感染患者 23人
海南 疑似患者 流入 湖北 1人
重庆 疑似患者 流入 宁夏 2人
山西 新增 疑似患者 67人
河北 治愈 8人
广西 新增 疑似患者 70人
香港 新增 感染患者 25人
山西 新增 感染患者 95人
西藏 新增 疑似患者 15人
黑龙江 死亡 1人
江苏 新增 感染患者 6人
新疆 新增 感染患者 66人
新疆 新增 感染患者 47人
河北 新增 感染患者 1人
贵州 新增 疑似患者 98人
青海 新增 感染患者 33人
甘肃 感染患者 流入 山东 1人
天津 新增 疑似患者 57人
上海 新增 疑似患者 14人
江苏 新增 疑似患者 86人
云南 新增 感染患者 60人
湖北 新增 疑似患者 77人
西藏 新增 疑似患者 76人
云南 新增 疑似患者 17人
辽宁 新增 疑似患者 61人
重庆 排除 疑似患者 9人
内蒙古 新增 疑似患者 70人
广东 新增 感染患者 68人
江西 新增 疑似患者 46人
湖北 治愈 1人
广西 新增 感染患者 91人
河北 新增 感染患者 84人
云南 治愈 4人
海南 新增 感染患者 64人
福建 新增 感染患者 18人
山东 新增 疑似患者 84人
湖北 新增 感染患者 67人
贵州 新增 感染患者 89人
宁夏 新增 感染患者 64人
江西 新增 疑似患者 57人
山东 新增 疑似患者 99人
上海 新增 感染患者 87人
江苏 新增 感染患者 32人
陕西 新增 疑似患者 86人
陕西 新增 感染患者 47人
贵州 感染患者 流入 河南 1人
黑龙江 新增 疑似患者 10人
湖北 新增 感染患者 33人
山东 新增 感染患者 62人
吉林 新增 感染患者 17人
黑龙江 新增 感染患者 68人
云南 新增 感染患者 49人
河南 新增 疑似患者 0人
广西 新增 疑似患者 92人
甘肃 排除 疑似患者 6人
重庆 新增 疑似患者 32人
江苏 新增 疑似患者 46人
山西 新增 感染患者 71人
浙江 新增 疑似患者 81人
河北 新增 疑似患者 87人
香港 新增 感染患者 42人
辽宁 新增 疑似患者 19人
天津 新增 感染患者 8人
上海 新增 疑似患者 69人
广东 新增 疑似患者 23人
陕西 新增 疑似患者 41人
湖北 新增 疑似患者 17人
陕西 疑似患者 确诊感染 6人
江苏 新增 疑似患者 30人
甘肃 新增 疑似患者 92人
青海 新增 疑似患者 86人
广西 新增 疑似患者 87人
河北 感染患者 流入 青海 9人
吉林 新增 疑似患者 19人
陕西 新增 疑似患者 37人
湖北 感染患者 流入 江西 2人
安徽 新增 疑似患者 12人
云南 新增 疑似患者 84人
辽宁 新增 感染患者 60人
北京 新增 感染患者 26人
河南 新增 感染患者 49人
湖北 新增 疑似患者 45人
云南 新增 感染患者 62人
四川 新增 疑似患者 90人
甘肃 新增 感染患者 73人
云南 新增 疑似患者 57人
香港 新增 感染患者 90人
四川 新增 疑似患者 57人
内蒙古 新增 感染患者 54人
云南 新增 感染患者 89人
宁夏 新增 疑似患者 45人
内蒙古 新增 感染患者 92人
辽宁 新增 疑似患者 35人
宁夏 新增 感染患者 98人
四川 新增 疑似患者 73人
浙江 新增 感染患者 15人
河北 新增 疑似患者 12人
贵州 新增 疑似患者 3人
河北 新增 感染患者 20人
河北 新增 感染患者 16人
台湾 新增 感染患者 8111人
香港 新增 感染患者 25人
甘肃 排除 疑似患者 4人
安徽 新增 感染患者 87人
辽宁 新增 感染患者 32人
香港 新增 疑似患者 56人
山西 新增 感染患者 83人
黑龙江 新增 疑似患者 96人
天津 新增 感染患者 97人
广东 新增 感染患者 0人
青海 新增 感染患者 10人
安徽 新增 感染患者 19人
贵州 新增 疑似患者 1人
新疆 新增 感染患者 16人
北京 新增 疑似患者 9人
山西 新增 疑似患者 57人
吉林 治愈 7人
新疆 新增 感染患者 15人
山西 新增 感染患者 27人
浙江 新增 疑似患者 18人
湖南 新增 疑似患者 50人
天津 新增 感染患者 15人
黑龙江 新增 疑似患者 87人
上海 新增 疑似患者 15人
台湾 新增 感染患者 2780人
江苏 新增 感染患者 42人
广东 新增 疑似患者 75人
四川 新增 疑似患者 88人
云南 新增 疑似患者 6人
山东 新增 疑似患者 17人
上海 新增 感染患者 83人
重庆 新增 疑似患者 13人
江西 新增 感染患者 30人
青海 新增 感染患者 64人
云南 疑似患者 确诊感染 6人
台湾 新增 感染患者 11103人
山东 新增 疑似患者 64人
广西 新增 疑似患者 3人
黑龙江 新增 感染患者 81人
台湾 新增 感染患者 12484人
宁夏 新增 感染患者 35人
天津 新增 疑似患者 40人
甘肃 新增 感染患者 65人
山西 新增 感染患者 85人
湖南 新增 感染患者 86人
河北 疑似患者 确诊感染 2人
香港 新增 疑似患者 65人
浙江 新增 感染患者 9人
上海 新增 疑似患者 92人
宁夏 新增 疑似患者 83人
山东 新增 疑似患者 72人
新疆 新增 感染患者 36人
山东 新增 疑似患者 41人
河北 新增 疑似患者 3人
山东 治愈 9人
安徽 新增 疑似患者 53人
广西 新增 感染患者 67人
陕西 新增 感染患者 18人
江西 新增 疑似患者 12人
湖南 新增 疑似患者 30人
贵州 新增 感染患者 19人
四川 新增 感染患者 99人
陕西 疑似患者 确诊感染 4人
宁夏 新增 疑似患者 96人
台湾 新增 感染患者 12537人
福建 新增 疑似患者 82人
贵州 新增 疑似患者 73人
重庆 新增 感染患者 96人
广西 感染患者 流入 福建 8人
甘肃 新增 疑似患者 57人
云南 新增 感染患者 30人
广西 新增 感染患者 10人
陕西 感染患者 流入 新疆 4人
西藏 新增 感染患者 55人
河北 新增 感染患者 2人
重庆 死亡 2人
山东 新增 感染患者 91人
贵州 疑似患者 确诊感染 9人
台湾 新增 疑似患者 11788人
内蒙古 新增 感染患者 88人
香港 新增 感染患者 97人
广东 新增 感染患者 49人
黑龙江 新增 疑似患者 93人
天津 新增 疑似患者 64人
四川 新增 感染患者 32人
甘肃 疑似患者 确诊感染 3人
河北 新增 感染患者 8人
海南 新增 感染患者 61人
陕西 新增 感染患者 74人
海南 排除 疑似患者 5人
贵州 新增 疑似患者 62人
青海 新增 疑似患者 82人
广东 新增 感染患者 25人
陕西 新增 感染患者 31人
内蒙古 新增 感染患者 99人
西藏 新增 疑似患者 25人
浙江 新增 疑似患者 33人
江苏 新增 疑似患者 86人
内蒙古 新增 疑似患者 49人
山东 新增 疑似患者 37人
安徽 新增 疑似患者 43人
山东 死亡 2人
江苏 新增 感染患者 90人
吉林 新增 感染患者 54人
浙江 新增 疑似患者 11人
江西 新增 感染患者 45人
贵州 新增 疑似患者 76人
宁夏 新增 感染患者 0人
云南 新增 疑似患者 37人
江西 新增 感染患者 44人
台湾 感染患者 流入 河南 311人
湖北 新增 感染患者 10人
天津 新增 感染患者 33人
吉林 疑似患者 确诊感染 4人
广西 新增 疑似患者 70人
宁夏 新增 疑似患者 17人
广西 新增 疑似患者 91人
北京 新增 感染患者 12人
吉林 新增 疑似患者 15人
广西 新增 疑似患者 60人
宁夏 新增 疑似患者 50人
安徽 新增 感染患者 33人
河北 新增 疑似患者 21人
贵州 新增 感染患者 21人
陕西 疑似患者 确诊感染 1人
江西 新增 感染患者 16人
甘肃 新增 感染患者 61人
江西 新增 疑似患者 52人
西藏 新增 疑似患者 81人
广东 新增 感染患者 58人
江苏 新增 感染患者 61人
重庆 新增 疑似患者 69人
西藏 新增 疑似患者 65人
北京 新增 疑似患者 92人
西藏 新增 感染患者 65人
湖北 新增 疑似患者 24人
上海 新增 感染患者 77人
山东 新增 感染患者 15人
重庆 新增 疑似患者 77人
海南 新增 感染患者 45人
上海 新增 感染患者 64人
河南 新增 疑似患者 76人
广东 新增 感染患者 97人
内蒙古 新增 感染患者 62人
香港 新增 疑似患者 58人
广东 新增 感染患者 21人
云南 死亡 8人
天津 新增 感染患者 53人
云南 新增 疑似患者 3人
天津 新增 疑似患者 5人
云南 新增 疑似患者 58人
北京 新增 感染患者 10人
云南 新增 疑似患者 47人
湖南 新增 感染患者 38人
重庆 新增 疑似患者 59人
海南 新增 感染患者 19人
内蒙古 新增 感染患者 6人
广西 新增 疑似患者 49人
广东 死亡 5人
内蒙古 新增 感染患者 40人
宁夏 新增 感染患者 59人
新疆 新增 感染患者 13人
重庆 新增 感染患者 61人
上海 疑似患者 流入 黑龙江 1人
江苏 新增 疑似患者 3人
台湾 疑似患者 确诊感染 1174人
江苏 新增 感染患者 14人
安徽 新增 感染患者 31人
江苏 新增 感染患者 17人
广东 新增 疑似患者 51人
陕西 感染患者 流入 山东 4人
青海 新增 感染患者 23人
辽宁 排除 疑似患者 4人
吉林 新增 感染患者 14人
台湾 新增 疑似患者 6924人
内蒙古 新增 疑似患者 40人
新疆 新增 感染患者 99人
上海 新增 感染患者 79人
北京 新增 感染患者 91人
云南 新增 疑似患者 19人
宁夏 治愈 1人
浙江 新增 疑似患者 75人
西藏 新增 疑似患者 98人
台湾 新增 疑似患者 8478人
福建 新增 感染患者 30人
安徽 新增 疑似患者 48人
甘肃 新增 疑似患者 74人
宁夏 新增 感染患者 1人
四川 新增 疑似患者 10人
甘肃 新增 感染患者 58人
江苏 新增 疑似患者 98人
福建 新增 疑似患者 33人
青海 新增 疑似患者 71人
吉林 新增 感染患者 65人
湖南 新增 疑似患者 2人
河北 治愈 8人
陕西 新增 感染患者 75人
海南 新增 感染患者 57人
江苏 疑似患者 流入 河北 1人
福建 新增 感染患者 58人
上海 新增 感染患者 21人
海南 新增 疑似患者 35人
河南 疑似患者 确诊感染 2人
西藏 新增 疑似患者 51人
台湾 死亡 1934人
江西 新增 疑似患者 83人
浙江 新增 感染患者 73人
福建 死亡 1人
广西 新增 感染患者 74人
甘肃 新增 疑似患者 17人
内蒙古 新增 疑似患者 27人
青海 感染患者 流入 上海 7人
四川 新增 疑似患者 27人
山东 新增 感染患者 89人
上海 新增 疑似患者 52人
湖北 新增 感染患者 88人
甘肃 新增 感染患者 31人
山东 新增 疑似患者 10人
西藏 新增 疑似患者 71人
浙江 新增 疑似患者 20人
江苏 新增 感染患者 20人
山东 新增 疑似患者 97人
广西 疑似患者 确诊感染 3人
宁夏 新增 疑似患者 81人
安徽 新增 感染患者 84人
河北 新增 疑似患者 92人
宁夏 新增 疑似患者 45人
吉林 新增 感染患者 67人
河南 新增 疑似患者 70人
台湾 新增 感染患者 20664人
台湾 治愈 1007人
香港 新增 感染患者 35人
西藏 新增 疑似患者 49人
河北 新增 疑似患者 92人
西藏 疑似患者 流入 河南 7人
西藏 新增 感染患者 11人
重庆 新增 感染患者 11人
天津 新增 感染患者 58人
陕西 新增 疑似患者 41人
天津 新增 感染患者 58人
宁夏 疑似患者 确诊感染 9人
北京 新增 感染患者 8人
北京 新增 感染患者 1人
天津 新增 疑似患者 40人
广西 新增 疑似患者 6人
黑龙江 新增 疑似患者 32人
安徽 新增 感染患者 41人
广东 新增 疑似患者 0人
广西 新增 感染患者 50人
陕西 新增 感染患者 86人
湖南 新增 疑似患者 41人
黑龙江 新增 疑似患者 89人
湖南 新增 感染患者 41人
辽宁 新增 感染患者 41人
重庆 新增 疑似患者 76人
新疆 治愈 6人
天津 新增 疑似患者 76人
浙江 新增 疑似患者 15人
四川 新增 疑似患者 94人
山西 疑似患者 确诊感染 7人
北京 新增 感染患者 30人
海南 新增 疑似患者 6人
湖北 新增 感染患者 26人
江西 新增 感染患者 17人
新疆 排除 疑似患者 2人
黑龙江 新增 感染患者 69人
天津 新增 疑似患者 82人
贵州 新增 感染患者 66人
云南 新增 疑似患者 96人
天津 新增 疑似患者 33人
四川 新增 感染患者 36人
青海 新增 感染患者 10人
江西 新增 疑似患者 23人
陕西 新增 疑似患者 37人
黑龙江 新增 感染患者 94人
重庆 新增 疑似患者 85人
海南 感染患者 流入 江苏 1人
河南 新增 感染患者 83人
海南 新增 感染患者 86人
山东 新增 感染患者 25人
青海 新增 感染患者 22人
山西 感染患者 流入 云南 2人
四川 新增 疑似患者 97人
山东 新增 感染患者 92人
云南 新增 感染患者 56人
陕西 新增 感染患者 28人
上海 新增 疑似患者 97人
上海 新增 疑似患者 70人
浙江 新增 感染患者 63人
新疆 新增 感染患者 6人
北京 新增 感染患者 40人
辽宁 新增 感染患者 50人
贵州 疑似患者 确诊感染 8人
四川 新增 疑似患者 91人
山西 新增 感染患者 64人
天津 新增 感染患者 17人
台湾 新增 疑似患者 14515人
安徽 新增 疑似患者 7人
天津 治愈 4人
广东 新增 感染患者 0人
河南 新增 感染患者 64人
山东 新增 疑似患者 76人
吉林 新增 感染患者 87人
四川 新增 疑似患者 53人
福建 新增 感染患者 86人
香港 新增 感染患者 23人
安徽 新增 疑似患者 65人
香港 新增 感染患者 53人
广西 新增 疑似患者 9人
江西 新增 疑似患者 2人
吉林 新增 疑似患者 57人
广西 新增 疑似患者 22人
西藏 感染患者 流入 重庆 1人
上海 新增 疑似患者 98人
浙江 新增 感染患者 34人
贵州 新增 感染患者 9人
福建 新增 疑似患者 95人
西藏 新增 感染患者 37人
青海 新增 疑似患者 86人
安徽 新增 疑似患者 32人
辽宁 新增 疑似患者 73人
陕西 新增 感染患者 51人
上海 新增 感染患者 65人
江苏 新增 疑似患者 29人
辽宁 新增 疑似患者 59人
湖南 新增 疑似患者 42人
贵州 新增 感染患者 53人
台湾 感染患者 流入 湖南 1818人
吉林 新增 感染患者 63人
贵州 新增 感染患者 1人
陕西 死亡 7人
内蒙古 新增 疑似患者 78人
江苏 新增 感染患者 12人
内蒙古 死亡 1人
台湾 新增 感染患者 5660人
湖南 治愈 6人
云南 新增 感染患者 2人
四川 疑似患者 确诊感染 1人
广西 新增 疑似患者 6人
安徽 新增 疑似患者 99人
北京 新增 疑似患者 55人
吉林 新增 疑似患者 83人
云南 新增 感染患者 85人
河北 新增 疑似患者 61人
湖南 新增 感染患者 97人
陕西 新增 疑似患者 1人
甘肃 新增 疑似患者 5人
江西 新增 疑似患者 37人
新疆 新增 感染患者 68人
西藏 新增 感染患者 98人
甘肃 新增 疑似患者 55人
北京 新增 感染患者 63人
宁夏 新增 疑似患者 78人
北京 新增 疑似患者 40人
河南 新增 感染患者 78人
陕西 新增 感染患者 70人
西藏 新增 感染患者 22人
西藏 排除 疑似患者 3人
广东 新增 感染患者 77人
黑龙江 感染患者 流入 贵州 3人
吉林 新增 疑似患者 57人
广西 死亡 1人
河南 新增 疑似患者 3人
青海 新增 疑似患者 57人
安徽 新增 感染患者 55人
福建 新增 疑似患者 49人
吉林 排除 疑似患者 1人
新疆 新增 感染患者 84人
黑龙江 新增 感染患者 83人
北京 新增 疑似患者 55人
河北 新增 感染患者 11人
山东 新增 疑似患者 96人
湖南 新增 感染患者 70人
重庆 新增 感染患者 50人
海南 新增 疑似患者 54人
安徽 新增 感染患者 55人
吉林 新增 疑似患者 32人
陕西 新增 感染患者 56人
山西 新增 疑似患者 10人
陕西 新增 感染患者 3人
重庆 新增 疑似患者 77人
海南 新增 疑似患者 55人
贵州 新增 感染患者 35人
辽宁 新增 感染患者 42人
浙江 新增 疑似患者 41人
重庆 新增 感染患者 91人
辽宁 新增 疑似患者 8人
湖南 新增 疑似患者 50人
贵州 新增 感染患者 48人
河南 新增 感染患者 37人
内蒙古 新增 感染患者 11人
江苏 新增 感染患者 66人
新疆 新增 感染患者 49人
新疆 新增 疑似患者 89人
黑龙江 新增 感染患者 56人
辽宁 疑似患者 流入 山西 9人
广西 治愈 7人
陕西 新增 疑似患者 21人
江西 新增 疑似患者 10人
天津 新增 感染患者 57人
湖南 新增 感染患者 43人
陕西 新增 疑似患者 23人
贵州 新增 疑似患者 90人
北京 新增 感染患者 5人
香港 疑似患者 流入 河北 8人
贵州 新增 疑似患者 59人
湖北 新增 疑似患者 68人
北京 新增 感染患者 68人
浙江 新增 感染患者 70人
黑龙江 新增 感染患者 4人
青海 治愈 3人
辽宁 新增 疑似患者 86人
重庆 新增 感染患者 39人
河南 新增 感染患者 42人
浙江 新增 感染患者 68人
甘肃 感染患者 流入 福建 5人
上海 新增 疑似患者 38人
上海 新增 疑似患者 0人
江西 新增 疑似患者 33人
福建 新增 感染患者 50人
甘肃 新增 疑似患者 90人
江苏 新增 感染患者 41人
台湾 新增 感染患者 10703人
山西 新增 疑似患者 76人
陕西 新增 疑似患者 52人
内蒙古 新增 感染患者 32人
海南 新增 感染患者 0人
湖南 新增 感染患者 9人
重庆 新增 感染患者 30人
辽宁 新增 感染患者 58人
黑龙江 新增 感染患者 57人
香港 新增 疑似患者 61人
香港 新增 感染患者 54人
上海 新增 感染患者 93人
香港 死亡 3人
山东 新增 疑似患者 69人
内蒙古 新增 感染患者 35人
安徽 新增 疑似患者 67人
新疆 新增 感染患者 8人
陕西 新增 疑似患者 50人
广东 新增 疑似患者 44人
江苏 新增 疑似患者 37人
河北 新增 感染患者 73人
福建 死亡 1人
海南 新增 感染患者 37人
青海 新增 疑似患者 10人
海南 新增 感染患者 76人
重庆 新增 感染患者 46人
辽宁 新增 感染患者 47人
浙江 治愈 5人
青海 疑似患者 流入 青海 6人
云南 新增 感染患者 20人
重庆 新增 感染患者 23人
辽宁 治愈 2人
重庆 新增 疑似患者 99人
天津 新增 疑似患者 40人
新疆 新增 感染患者 95人
湖北 新增 疑似患者 57人
甘肃 新增 疑似患者 60人
北京 新增 疑似患者 49人
甘肃 新增 疑似患者 13人
陕西 新增 感染患者 63人
新疆 新增 感染患者 44人
台湾 新增 感染患者 21836人
甘肃 新增 疑似患者 4人
广西 新增 感染患者 19人
湖南 新增 疑似患者 75人
西藏 新增 疑似患者 22人
辽宁 新增 疑似患者 28人
浙江 新增 疑似患者 11人
贵州 新增 感染患者 23人
西藏 新增 感染患者 47人
黑龙江 新增 感染患者 11人
河北 新增 疑似患者 68人
湖北 新增 疑似患者 85人
黑龙江 新增 感染患者 8人
甘肃 新增 疑似患者 86人
河北 感染患者 流入 海南 4人
江苏 新增 疑似患者 93人
河南 新增 疑似患者 80人
海南 新增 感染患者 30人
山东 新增 疑似患者 87人
安徽 治愈 1人
四川 新增 感染患者 38人
江苏 新增 疑似患者 89人
河南 新增 感染患者 96人
北京 死亡 9人
台湾 新增 疑似患者 9139人
宁夏 新增 感染患者 90人
贵州 新增 感染患者 34人
上海 新增 疑似患者 70人
甘肃 死亡 4人
云南 新增 疑似患者 85人
天津 新增 疑似患者 27人
山西 新增 疑似患者 30人
上海 新增 感染患者 83人
上海 新增 疑似患者 54人
山东 新增 疑似患者 67人
新疆 新增 感染患者 67人
陕西 死亡 9人
陕西 新增 感染患者 33人
陕西 新增 感染患者 41人
江苏 新增 疑似患者 9人
甘肃 新增 感染患者 5人
广西 新增 疑似患者 24人
重庆 新增 感染患者 60人
台湾 新增 感染患者 17862人
湖北 排除 疑似患者 9人
天津 新增 感染患者 2人
天津 新增 疑似患者 52人
安徽 死亡 2人
广东 新增 疑似患者 47人
陕西 新增 疑似患者 60人
吉林 新增 疑似患者 14人
辽宁 新增 疑似患者 58人
湖北 新增 感染患者 38人
湖南 新增 感染患者 93人
云南 感染患者 流入 天津 8人
西藏 新增 感染患者 32人
吉林 新增 感染患者 65人
香港 新增 疑似患者 65人
吉林 新增 感染患者 93人
江苏 新增 感染患者 79人
浙江 新增 感染患者 31人
四川 新增 疑似患者 78人
青海 新增 疑似患者 66人
新疆 新增 感染患者 74人
江苏 新增 疑似患者 87人
四川 新增 疑似患者 4人
海南 疑似患者 确诊感染 3人
新疆 新增 疑似患者 60人
海南 新增 感染患者 68人
江西 疑似患者 确诊感染 7人
广东 新增 疑似患者 8人
广东 新增 感染患者 25人
江苏 新增 感染患者 34人
黑龙江 新增 感染患者 80人
浙江 新增 疑似患者 58人
江苏 新增 疑似患者 70人
甘肃 新增 疑似患者 28人
黑龙江 新增 疑似患者 99人
上海 新增 疑似患者 83人
安徽 新增 感染患者 35人
山西 新增 疑似患者 76人
河北 新增 感染患者 62人
宁夏 治愈 7人
天津 新增 疑似患者 41人
山东 疑似患者 流入 安徽 4人
广西 新增 疑似患者 92人
广西 新增 疑似患者 98人
辽宁 新增 疑似患者 64人
浙江 新增 疑似患者 47人
黑龙江 新增 疑似患者 48人
河北 新增 疑似患者 42人
江西 新增 感染患者 44人
西藏 新增 疑似患者 40人
广西 新增 感染患者 7人
青海 新增 感染患者 58人
台湾 新增 疑似患者 21437人
云南 新增 疑似患者 18人
江西 新增 疑似患者 75人
四川 排除 疑似患者 8人
福建 新增 感染患者 12人
青海 疑似患者 流入 上海 8人
陕西 新增 疑似患者 5人
河南 新增 感染患者 89人
云南 新增 疑似患者 67人
山东 新增 疑似患者 40人
重庆 新增 感染患者 90人
江苏 新增 疑似患者 1人
河南 疑似患者 流入 上海 6人
四川 新增 感染患者 14人
内蒙古 新增 感染患者 79人
青海 新增 感染患者 49人
青海 新增 感染患者 52人
四川 新增 疑似患者 62人
天津 新增 感染患者 64人
山东 新增 感染患者 39人
安徽 新增 疑似患者 84人
黑龙江 新增 疑似患者 69人
四川 新增 疑似患者 2人
青海 新增 疑似患者 21人
香港 新增 疑似患者 93人
河南 新增 感染患者 75人
河北 疑似患者 确诊感染 2人
广西 新增 疑似患者 0人
海南 新增 疑似患者 81人
湖北 新增 疑似患者 18人
天津 新增 疑似患者 54人
山西 疑似患者 流入 湖南 6人
湖南 新增 感染患者 84人
重庆 感染患者 流入 上海 9人
北京 新增 感染患者 61人
海南 新增 疑似患者 36人
广东 新增 疑似患者 56人
山东 新增 疑似患者 90人
海南 新增 疑似患者 73人
重庆 新增 感染患者 11人
天津 排除 疑似患者 5人
广东 新增 感染患者 88人
广东 新增 疑似患者 31人
山东 新增 感染患者 5人
广西 新增 感染患者 48人
浙江 新增 疑似患者 10人
安徽 新增 感染患者 20人
湖北 新增 疑似患者 99人
陕西 新增 疑似患者 30人
北京 新增 感染患者 72人
青海 新增 疑似患者 20人
甘肃 新增 疑似患者 7人
福建 新增 疑似患者 97人
云南 新增 感染患者 75人
吉林 新增 疑似患者 52人
西藏 新增 感染患者 72人
香港 新增 感染患者 59人
广东 新增 疑似患者 70人
广东 新增 疑似患者 25人
湖北 新增 感染患者 28人
河北 新增 感染患者 52人
陕西 新增 疑似患者 78人
河南 新增 疑似患者 89人
山东 新增 感染患者 94人
青海 新增 感染患者 61人
山东 新增 感染患者 38人
河北 新增 疑似患者 67人
湖北 新增 疑似患者 85人
云南 新增 疑似患者 53人
香港 新增 感染患者 3人
青海 疑似患者 确诊感染 6人
江西 新增 感染患者 31人
广东 新增 感染患者 75人
吉林 新增 感染患者 21人
山东 新增 感染患者 13人
吉林 新增 疑似患者 18人
安徽 新增 疑似患者 84人
河南 疑似患者 流入 贵州 4人
内蒙古 新增 疑似患者 52人
台湾 新增 感染患者 4000人
陕西 死亡 6人
宁夏 新增 感染患者 46人
陕西 疑似患者 流入 山东 7人
河南 新增 疑似患者 92人
陕西 新增 疑似患者 0人
四川 新增 疑似患者 51人
江苏 治愈 9人
河南 新增 疑似患者 34人
海南 新增 感染患者 94人
山西 新增 疑似患者 99人
浙江 新增 疑似患者 58人
山西 新增 疑似患者 90人
湖北 新增 疑似患者 79人
安徽 新增 疑似患者 16人
新疆 新增 感染患者 35人
江西 新增 感染患者 98人
山西 新增 感染患者 92人
河北 新增 感染患者 44人
青海 新增 疑似患者 28人
青海 新增 疑似患者 30人
湖南 新增 疑似患者 44人
江西 排除 疑似患者 9人
湖北 新增 疑似患者 34人
内蒙古 排除 疑似患者 1人
河北 新增 疑似患者 78人
甘肃 疑似患者 确诊感染 3人
福建 新增 疑似患者 73人
重庆 新增 感染患者 80人
天津 新增 疑似患者 96人
山东 新增 感染患者 4人
辽宁 新增 感染患者 98人
江西 新增 感染患者 71人
河南 新增 疑似患者 80人
内蒙古 新增 疑似患者 8人
山西 新增 疑似患者 97人
山西 新增 感染患者 93人
陕西 治愈 9人
宁夏 治愈 8人
江西 新增 感染患者 83人
山东 新增 疑似患者 64人
河北 新增 疑似患者 47人
安徽 新增 疑似患者 70人
西藏 新增 感染患者 93人
黑龙江 新增 疑似患者 27人
湖南 新增 疑似患者 14人
台湾 疑似患者 流入 上海 421人
宁夏 新增 感染患者 33人
黑龙江 新增 感染患者 69人
山东 新增 疑似患者 89人
陕西 新增 疑似患者 72人
四川 新增 疑似患者 65人
江西 死亡 3人
云南 新增 疑似患者 1人
云南 新增 疑似患者 64人
云南 新增 感染患者 89人
江西 新增 感染患者 18人
云南 疑似患者 流入 青海 4人
宁夏 新增 感染患者 40人
江苏 新增 感染患者 55人
辽宁 疑似患者 确诊感染 6人
山西 新增 疑似患者 65人
甘肃 新增 感染患者 23人
台湾 新增 疑似患者 21903人
香港 新增 疑似患者 94人
福建 新增 疑似患者 8人
北京 新增 感染患者 3人
宁夏 新增 疑似患者 40人
陕西 新增 疑似患者 2人
海南 新增 感染患者 43人
台湾 新增 感染患者 12564人
辽宁 治愈 3人
辽宁 治愈 8人
黑龙江 新增 疑似患者 53人
江苏 新增 疑似患者 70人
浙江 疑似患者 确诊感染 7人
陕西 新增 疑似患者 32人
贵州 新增 疑似患者 14人
香港 新增 感染患者 21人
云南 新增 感染患者 74人
上海 新增 疑似患者 58人
黑龙江 新增 感染患者 10人
黑龙江 新增 感染患者 85人
天津 新增 感染患者 74人
广西 新增 疑似患者 90人
山西 新增 感染患者 49人
甘肃 疑似患者 流入 江苏 9人
山东 新增 感染患者 86人
四川 新增 疑似患者 3人
西藏 新增 感染患者 50人
青海 新增 疑似患者 27人
广西 新增 疑似患者 87人
西藏 新增 感染患者 99人
广东 新增 感染患者 78人
江苏 新增 感染患者 88人
广东 新增 疑似患者 39人
山东 新增 感染患者 54人
新疆 新增 疑似患者 39人
福建 新增 疑似患者 32人
黑龙江 新增 疑似患者 44人
山东 死亡 3人
河南 新增 疑似患者 13人
宁夏 感染患者 流入 山西 7人
安徽 感染患者 流入 江西 2人
福建 新增 疑似患者 58人
陕西 新增 疑似患者 18人
西藏 新增 感染患者 67人
广西 新增 疑似患者 63人
河北 新增 感染患者 0人
广西 新增 疑似患者 27人
甘肃 新增 感染患者 91人
黑龙江 新增 疑似患者 24人
江西 疑似患者 确诊感染 7人
福建 新增 疑似患者 73人
湖北 新增 疑似患者 98人
台湾 死亡 1993人
青海 死亡 6人
宁夏 新增 感染患者 20人
河南 新增 疑似患者 24人
重庆 新增 感染患者 71人
上海 新增 感染患者 2人
江苏 排除 疑似患者 7人
海南 新增 疑似患者 63人
湖北 新增 感染患者 21人
新疆 新增 感染患者 26人
山东 新增 感染患者 38人
河南 新增 感染患者 11人
江苏 新增 感染患者 82人
广东 新增 疑似患者 73人
青海 新增 疑似患者 25人
安徽 新增 感染患者 37人
四川 新增 疑似患者 28人
山东 新增 感染患者 18人
辽宁 新增 感染患者 38人
四川 新增 疑似患者 3人
青海 死亡 5人
福建 新增 疑似患者 18人
香港 新增 疑似患者 16人
青海 新增 感染患者 11人
